step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
406,73686,406,2.239923486,0,0.443902439
407,73879,407,1.681606952,0,0.632432432
408,73960,408,1.522143902,0,0.549295775
409,74017,409,1.699787739,0,0.636363636
410,74458,410,1.959568674,0,0.5
411,74563,411,1.646257222,0,0.535714286
412,74836,412,1.841228647,0,0.553846154
413,74901,413,1.811724743,0,0.490566038
414,75198,414,1.808642851,0,0.561151079
415,75279,415,0.782489847,0,0.714285714
416,75536,416,1.570001946,0,0.588709677
417,75593,417,1.248862327,0,0.55
418,75706,418,1.465683027,0,0.528735632
419,75763,419,1.581936849,0,0.564102564
420,75860,420,1.555944157,0,0.525
421,76109,421,1.385592253,0,0.686956522
422,76374,422,1.903996013,0,0.486956522
423,76663,423,1.790076063,0,0.57400722
424,77080,424,1.75086644,0,0.624685139
425,77241,425,1.392154821,0,0.618705036
426,77410,426,1.450789508,0,0.593333333
427,77467,427,1.840386735,0,0.472222222
428,77588,428,1.374022249,0,0.50617284
429,77749,429,1.631600136,0,0.549295775
430,77926,430,1.328796123,0,0.666666667
431,78415,431,1.496377851,0,0.652452026
432,78728,432,1.238615796,0,0.690972222
433,78929,433,1.938004177,0,0.510752688
434,79274,434,2.00510463,0,0.510510511
435,79635,435,1.318205468,0,0.638554217
436,79940,436,1.744105606,0,0.590277778
437,80101,437,1.130645247,0,0.669064748
438,80142,438,1.636036882,0,0.612903226
439,80215,439,1.345801462,0,0.633333333
440,80424,440,1.600149138,0,0.617346939
441,80729,441,1.809833313,0,0.551369863
442,80866,442,2.13353711,0,0.5
443,80947,443,1.523189049,0,0.516129032
444,81076,444,1.244164067,0,0.681818182
445,81413,445,1.713568431,0,0.577981651
446,81462,446,1.412742401,0,0.5
447,81687,447,1.548418742,0,0.483870968
448,81848,448,1.393820646,0,0.598591549
449,81937,449,1.163401349,0,0.652777778
450,82082,450,1.416045772,0,0.595419847
451,82355,451,1.077697154,0,0.691056911
452,82628,452,1.903920695,0,0.512295082
453,82701,453,1.024216715,0,0.76
454,82902,454,1.660188855,0,0.543010753
455,82975,455,1.676499025,0,0.491803279
456,83192,456,1.794179009,0,0.59
457,83249,457,1.34356839,0,0.615384615
458,83562,458,1.25930765,0,0.693877551
459,83659,459,1.258429254,0,0.6125
460,83716,460,0.830742241,0,0.580645161
461,83893,461,1.947758229,0,0.5
462,84134,462,1.472954378,0,0.576190476
463,84183,463,0.94212134,0,0.684210526
464,84304,464,1.336483921,0,0.581632653
465,84385,465,1.492483521,0,0.520547945
466,84442,466,1.068953402,0,0.657894737
467,84531,467,1.769012972,0,0.556962025
468,84596,468,1.317552394,0,0.571428571
469,85005,469,1.939901863,0,0.518229167
470,85086,470,0.640512587,0,0.783333333
471,85343,471,1.524750316,0,0.625
472,85424,472,1.107749768,0,0.680555556
473,85721,473,1.328307727,0,0.694852941
474,85994,474,1.331750882,0,0.68699187
475,86131,475,1.065583764,0,0.68852459
476,86316,476,1.473082006,0,0.617647059
477,86381,477,1.0525861,0,0.641509434
478,86478,478,0.662251688,0,0.660714286
479,86655,479,1.637167887,0,0.525
480,87088,480,1.519706041,0,0.632603406
481,87369,481,1.584779439,0,0.570895522
482,87490,482,1.330536986,0,0.575471698
483,87731,483,1.283040457,0,0.657276995
484,87772,484,0.530691167,0,0.782608696
485,88013,485,1.249899006,0,0.650442478
486,88102,486,1.091631599,0,0.641791045
487,88279,487,1.708916542,0,0.5
488,88312,488,0.652457893,0,0.888888889
489,88681,489,1.849474015,0,0.502857143
490,88842,490,1.348732804,0,0.628378378
491,88995,491,1.527530737,0,0.584507042
492,89012,492,0.609034495,0,0
493,89533,493,1.574913667,0,0.644444444
494,89790,494,1.964899823,0,0.524793388
495,89839,495,0.738914857,0,0.5
496,90008,496,1.256670596,0,0.617021277
497,90169,497,1.184982842,0,0.637681159
498,90250,498,1.048355428,0,0.666666667
499,90443,499,1.490358371,0,0.626373626
500,90684,500,1.066360027,0,0.702325581
501,90837,501,1.171365706,0,0.671641791
502,90998,502,1.938718249,0,0.456375839
503,91135,503,1.501475188,0,0.578947368
504,91400,504,1.732321717,0,0.517391304
505,91433,505,0.982879862,0,0.565217391
506,91482,506,1.359818968,0,0.5625
507,91659,507,1.138666067,0,0.68707483
508,91884,508,1.955802275,0,0.521327014
509,91941,509,1.356900851,0,0.574468085
510,92086,510,1.827523242,0,0.52
511,92143,511,1.060647294,0,0.56097561
512,92224,512,0.638968348,0,0.75
513,92289,513,1.423238104,0,0.566037736
514,92466,514,1.542854619,0,0.601226994
515,92507,515,0.289760898,0,0.833333333
516,92596,516,0.361229652,0,0.869565217
517,92693,517,0.646447682,0,0.790697674
518,92830,518,1.384956306,0,0.6
519,92919,519,1.269138294,0,0.513157895
520,93192,520,1.520301927,0,0.643678161
521,93233,521,0.478637687,0,0.857142857
522,93498,522,1.720221714,0,0.552419355
523,93611,523,1.378736235,0,0.572916667
524,93924,524,1.110998641,0,0.716171617
525,94133,525,1.561187778,0,0.602040816
526,94214,526,0.66490546,0,0.722222222
527,94343,527,0.832650618,0,0.7
528,94704,528,1.528213781,0,0.620991254
529,94937,529,1.298740168,0,0.616438356
530,95090,530,1.511040498,0,0.624113475
531,95235,531,1.408954314,0,0.606299213
532,95380,532,1.276934129,0,0.653543307
533,95501,533,0.971635772,0,0.743119266
534,95574,534,1.186121908,0,0.568627451
535,95887,535,1.11175669,0,0.708333333
536,95928,536,1.120396028,0,0.5625
537,96073,537,0.86245331,0,0.746153846
538,96146,538,0.994570348,0,0.68627451
539,96435,539,1.574007297,0,0.602996255
540,97004,540,1.423191978,0,0.623869801
541,97165,541,1.775749512,0,0.55862069
542,97454,542,1.614698617,0,0.552238806
543,97575,543,1.277286104,0,0.61682243
544,97808,544,1.326996584,0,0.65470852
545,97841,545,0.739948627,0,0.777777778
546,97938,546,2.053371738,0,0.505882353
547,98131,547,1.569279287,0,0.6
548,98444,548,1.91980715,0,0.554817276
549,98549,549,1.504891929,0,0.52688172
550,98654,550,1.108028316,0,0.639534884
551,98871,551,1.326332522,0,0.659898477
552,99192,552,1.997376418,0,0.536977492
553,99265,553,1.233533917,0,0.571428571
554,99546,554,1.711654592,0,0.543650794
555,99603,555,1.173938898,0,0.615384615
556,99796,556,1.995898176,0,0.483146067
557,99973,557,1.277422871,0,0.645962733
558,100294,558,1.825792735,0,0.540716612
559,100455,559,1.535942269,0,0.510638298
560,100664,560,1.266847211,0,0.698492462
561,100937,561,1.747571794,0,0.554166667
562,101146,562,1.161813187,0,0.596273292
563,101259,563,1.469817515,0,0.585858586
564,101308,564,0.660038429,0,0.804878049
565,101469,565,1.959082558,0,0.527777778
566,101742,566,1.249092334,0,0.61003861
567,101807,567,1.238832228,0,0.604166667
568,102088,568,1.163717733,0,0.705882353
569,102249,569,1.809230928,0,0.524137931
570,102466,570,1.056524294,0,0.724137931
571,102523,571,1.537860328,0,0.413043478
572,102684,572,1.680887,0,0.481751825
573,102845,573,1.041726875,0,0.662162162
574,102902,574,1.191735111,0,0.565217391
575,102991,575,1.442694251,0,0.561643836
576,103192,576,1.607672929,0,0.587301587
577,103497,577,1.350916518,0,0.64028777
578,104066,578,1.278915607,0,0.709156194
579,104251,579,1.248691912,0,0.672413793
580,104604,580,1.808908504,0,0.541033435
581,104757,581,1.474475365,0,0.590909091
582,105230,582,1.696641721,0,0.567328918
583,105543,583,1.793394542,0,0.553333333
584,105600,584,0.850433294,0,0.619047619
585,105681,585,1.738614629,0,0.5
586,105722,586,0.50487878,0,0.75
587,106011,587,1.564464178,0,0.576642336
588,106132,588,1.563372361,0,0.633928571
589,106229,589,1.348596138,0,0.620689655
590,106390,590,1.17813299,0,0.696551724
591,106543,591,1.740825087,0,0.495934959
592,106848,592,1.530245813,0,0.640138408
593,106937,593,0.678316855,0,0.746478873
594,107394,594,1.637642743,0,0.571770335
595,107587,595,1.842954959,0,0.508196721
596,107644,596,1.382746568,0,0.636363636
597,107701,597,1.08137313,0,0.625
598,107902,598,1.390908969,0,0.6
599,108127,599,1.776448041,0,0.588785047
600,108264,600,1.411855745,0,0.527777778
601,108417,601,1.31941643,0,0.676056338
